Ticker,BM Ratio
A,0.12727646166817025
AAL,-0.3223158933182481
AAP,0.34499619837399437
AAPL,0.031368270419618094
ABBV,-0.030658437416423157
ABC,0.11895257749937647
ABMD,0.093654251096607
ABT,0.16816488824758918
ACN,0.08588688552241851
ADBE,0.061558447168307946
ADI,0.15207040082077894
ADM,0.38856369338948793
ADP,0.05443966939120947
ADSK,-0.003259565981715503
AEE,0.337782931696256
AEP,0.3798790765589995
AES,0.15057530255437732
AFL,0.7080302827133886
AIG,1.537433193337223
AIZ,0.6379809569494233
AJG,0.1331388654888498
AKAM,0.2586136617881166
ALB,0.1300629634706753
ALGN,0.15493579401184934
ALK,0.7447162075318191
ALL,0.7435283079534988
ALLE,0.07407165554258795
AMAT,0.11634044256498431
AMCR,0.26759418607125074
AMD,0.02371174512531817
AME,0.19499958552030333
AMP,0.23540398235586482
AMT,0.030844237302829786
AMZN,0.051492901258080766
ANET,0.0799732960350208
ANSS,0.15761427365018887
AON,0.054459279838297785
AOS,0.1872429908939541
APA,0.26371579036313625
APD,0.20544636284122844
APH,0.1018541708838291
APTV,0.1564628320599664
ARE,0.37930617681584206
ATO,0.3959435968687449
ATVI,0.21211112792636924
AVB,0.39188740868526417
AVGO,0.12284593828187129
AVY,0.07909682727345707
AWK,0.23087447696439362
AXP,0.18951173401631324
AZO,-0.04081939236940303
BA,-0.10700297600746639
BAC,0.9996822472328427
BAX,0.26891105664734644
BBY,0.21910079360656512
BDX,0.2905531935677024
BEN,0.7726321949671998
BIIB,0.43990675813642993
BIO,0.44274111719913256
BK,1.2488481931846092
BKNG,0.0531720740926615
BKR,0.4564725549731068
BLK,0.3354692220766223
BMY,0.3420850294277055
BR,0.06050619245952667
BRO,0.19705736412970679
BSX,0.2409765852442165
BWA,0.5385745702082458
BXP,0.4923954237850038
C,2.0618312357747954
CAG,0.4761089155312287
CAH,0.05188074327202461
CARR,0.0815335207774203
CAT,0.14916463988964432
CB,0.6581474109561739
CBOE,0.2627139607387025
CBRE,0.24986070448035058
CCI,0.13774991694272057
CCL,2.1116047154866124
CDAY,0.21518942483242942
CDNS,0.04666091618070218
CDW,0.039109021141119554
CE,0.21034964697774908
CF,0.13493580873277583
CFG,1.224043872530461
CHD,0.1381144103802516
CHRW,0.1117438003229058
CHTR,0.4449967955905111
CI,0.5192009269506499
CINF,0.5207235164862852
CL,-0.001733044865674042
CLX,0.039227864356658364
CMA,0.7094866781490353
CMCSA,0.49978068191773234
CME,0.37736747962595313
CMG,0.038718950307592405
CMI,0.23543186121959092
CMS,0.2642691140234518
CNC,0.4573685435399123
CNP,0.3511648342911812
COF,1.4436913222877783
COO,0.2600324762977404
COP,0.22663342286526977
COST,0.07190667105305705
CPB,0.17340444107601952
CPRT,0.08242949594417093
CPT,0.2664485605641469
CRL,0.16196124001123202
CRM,0.2281518194222807
CSCO,0.19278161237328337
CSX,0.17647567844982368
CTAS,0.08169492409217699
CTLT,0.1799242770776349
CTRA,0.0895368221530622
CTSH,0.3284763466941662
CTVA,0.5476502106536938
CTXS,-0.016761344248425687
CVS,0.5030721265727133
CVX,0.4731665872235451
CZR,0.12688843700435626
D,0.45224819886630857
DAL,0.7386970832328483
DD,1.450662425360827
DE,0.10766764982462698
DFS,0.36176653363595795
DG,0.1320038609585171
DGX,0.3839635947572186
DHI,0.43044351983584894
DHR,0.15944817034748662
DIS,0.4470458843863139
DISH,1.282784758054622
DLR,0.4639901092897957
DLTR,0.21374857163007077
DOV,0.1645732535626558
DOW,0.3608584553897215
DPZ,-0.2567507558221997
DRE,0.22039219242912075
DRI,0.1559768366706631
DTE,0.46680721014796006
DUK,0.5665585577870009
DVA,0.2521173964824981
DVN,0.08769279953181607
DXC,0.812945955817689
DXCM,0.03010825526699519
EA,0.21140618623982624
EBAY,0.08775651810305884
ECL,0.19333247531094697
ED,0.5217839453327028
EFX,0.1053466003851042
EIX,0.5169444264813365
EL,0.0488449279260031
EMN,0.5454728619168896
EMR,0.1576471704356881
ENPH,0.008525517988350256
EOG,0.30753146698027684
EPAM,0.07048247847174373
EQIX,0.14776781988188872
EQR,0.3710958136859902
ES,0.4222150775110352
ESS,0.3507782441556495
ETN,0.26239544576884355
ETR,0.435141818124614
ETSY,0.0314855272557462
EVRG,0.5395775570555883
EW,0.07091936425896841
EXC,0.7402219161549712
EXPD,0.12017457712885657
EXPE,0.14617797437450603
